Eval_Step,Success_Rate
0,0.26
1000,0.58
2000,0.32
3000,0.48
4000,0.46
5000,0.24
6000,0.1
7000,0.08
8000,0.24
9000,0.22
10000,0.08
11000,0.0
12000,0.0
13000,0.0
