Eval_Step,Success_Rate
0,0.26
500,0.64
1000,0.7
1500,0.16
2000,0.06
2500,0.22
3000,0.2
3500,0.04
4000,0.12
4500,0.26
5000,0.22
5500,0.0
6000,0.2
6500,0.16
7000,0.02
7500,0.0
