Eval_Step,Success_Rate
0,0.26
500,0.08
1000,0.22
1500,0.62
2000,0.3
2500,0.68
3000,0.66
3500,0.84
4000,0.72
4500,0.66
5000,0.22
5500,0.62
6000,0.24
6500,0.52
7000,0.26
7500,0.52
8000,0.52
8500,0.6
9000,0.5
9500,0.7
10000,0.32
10500,0.46
11000,0.5
11500,0.34
12000,0.54
12500,0.4
13000,0.68
13500,0.74
14000,0.38
14500,0.42
15000,0.62
15500,0.62
16000,0.36
16500,0.36
17000,0.58
17500,0.94
