Eval_Step,Success_Rate
0,0.24
1000,0.42
2000,0.3
3000,0.14
4000,0.1
5000,0.26
6000,0.62
7000,0.38
8000,0.5
9000,0.14
10000,0.02
11000,0.12
12000,0.12
13000,0.18
