Eval_Step,Success_Rate
0,0.24
1000,0.66
2000,0.68
3000,0.68
4000,0.38
5000,0.42
6000,0.72
7000,0.56
8000,0.3
9000,0.58
10000,0.44
11000,0.28
12000,0.4
13000,0.62
14000,0.28
15000,0.38
16000,0.22
